Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
ex1,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/studio/IMG_0625.JPG,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex2,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/studio/IMG_0626.JPG,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex3,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/studio/IMG_0628.JPG,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex4,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/studio/IMG_0629.JPG,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex5,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/studio/tbstudio.png,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,n
