Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
ex1,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/8table/IMG_3764.jpeg,0:00:15,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex2,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/8table/IMG_3765.jpeg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex3,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/8table/IMG_3766.jpeg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex4,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/8table/IMG_3767.jpeg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex5,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/8table/IMG_3769.jpeg,0:00:15,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex6,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/8table/IMG_3770.jpeg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex7,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/8table/IMG_3771.jpeg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex8,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/8table/IMG_3772.jpeg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
ex9,https://raw.githubusercontent.com/SNC-Academic-Technology/ATV_exhibit/main/8table/IMG_3773.jpeg,0:00:10,0:00:20,1/1/18 0:00,12/31/30 23:59,no
